1306553|1, short_swipe, 
1306553|1, 1306553|1471, short_swipe, 
1306553|1, 1306553|167, short_swipe, 
1306553|1, 1306553|1764, short_swipe, 
1306553|1, 1306553|163, long_swipe, 
1306553|1, 1306553|1754, long_swipe, 
1306553|1, 1306553|128, tap_regular_character, 
1306553|1, 1306553|2291, tap_regular_character, 
1306553|1, 1306553|154, short_swipe, 
1306553|1, 1306553|1798, short_swipe, 
1306553|1, 1306553|117, long_swipe, 
1306553|1, 1306553|1734, long_swipe, 
1306553|1, 1306553|144, long_swipe, 
1306553|1, 1306553|1802, long_swipe, 
1306553|1, 1306553|148, short_swipe, 
1306553|1, 1306553|1777, short_swipe, 
1306553|1, 1306553|99, long_press_character, 
1306553|1, 1306553|1786, long_press_character, 
1306553|1, 1306553|124, tap_shift, 
1306553|1, 1306553|2198, tap_shift, 
1306553|1, 1306553|148, tap_regular_character, 
1306553|1, 1306553|2365, tap_regular_character, 
1306553|1, 1306553|112, long_swipe, 
1306553|1, 1306553|1757, long_swipe, 
1306553|1, 1306553|110, long_press_character, 
1306553|1, 1306553|1824, long_press_character, 
1306553|1, 1306553|128, short_swipe, 
1306553|1, 1306553|1758, short_swipe, 
1306553|1, 1306553|123, long_press_character, 
1306553|1, 1306553|1797, long_press_character, 
1306553|1, 1306553|117, tap_regular_character, 
1306553|1, 1306553|2352, tap_regular_character, 
1306553|1, 1306553|110, long_press_character, 
1306553|1, 1306553|1820, long_press_character, 
1306553|1, 1306553|121, long_swipe, 
1306553|1, 1306553|1753, long_swipe, 
1306553|1, 1306553|121, long_swipe, 
1306553|1, 1306553|1814, long_swipe, 
1306553|1, 1306553|95, long_swipe, 
1306553|1, 1306553|1779, long_swipe, 
1306553|1, 1306553|105, short_swipe, 
1306553|1, 1306553|1787, short_swipe, 
1306553|1, 1306553|114, tap_shift, 
1306553|1, 1306553|2361, tap_shift, 
1306553|1, 1306553|95, short_swipe, 
1306553|1, 1306553|1210, 1306428|1233, 1306553|1213, 1306428|1239, 1306125|1252, 1306125|1256, 1306125|1768, short_swipe, 
1306125|1, 1306125|100, tap_shift, 
1306125|1, 1306125|348, 1306065|364, 1306125|351, 1306065|371, 1306065|2302, tap_shift, 
1306065|1, 1306005|96, long_swipe, 
1306005|1, 1306005|23, 1306005|1770, long_swipe, 
1306005|1, 1306005|103, long_press_character, 
1306005|1, 1306005|1837, long_press_character, 
1306005|1, 1306005|88, short_swipe, 
1306005|1, 1306005|185, 1305945|202, 1306005|188, 1305945|207, 1305945|1806, short_swipe, 
1305945|1, 1305945|106, short_swipe, 
1305945|1, 1305945|1837, short_swipe, 
1305945|1, 1305945|119, short_swipe, 
1305945|1, 1305945|1834, short_swipe, 
1305945|1, 1305945|93, long_swipe, 
1305945|1, 1305945|1794, long_swipe, 
1305945|1, 1305945|95, tap_regular_character, 
1305945|1, 1305945|508, 1305885|528, 1305945|512, 1305885|539, 1305885|2296, tap_regular_character, 
1305885|1, 1305885|95, long_press_character, 
1305885|1, 1305885|783, 1305781|800, 1305885|795, 1305781|812, 1305781|1768, long_press_character, 
1305781|1, 1305781|134, tap_regular_character, 
1305781|1, 1305781|2308, tap_regular_character, 
1305781|1, 1305781|118, long_press_character, 
1305781|1, 1305781|1832, long_press_character, 
1305781|1, 1305781|91, tap_shift, 
1305781|1, 1305781|2205, tap_shift, 
1305781|1, 1305781|154, long_swipe, 
1305781|1, 1305781|1814, long_swipe, 
1305781|1, 1305781|91, tap_regular_character, 
1305781|1, 1305781|2308, tap_regular_character, 
1305781|1, 1305781|102, tap_regular_character, 
1305781|1, 1305781|296, 1305701|324, 1305781|300, 1305701|330, 1305701|1181, 1305549|1198, 1305701|1194, 1305255|1211, 1305255|1217, 1305075|1236, 1305075|1240, 1304995|1263, 1304995|1272, 1304995|1410, 1304863|1427, 1304995|1422, 1304863|1440, 1304863|1455, 1304417|1472, 1304863|1459, 1304237|1479, 1304237|1492, 1304237|2195, 1304105|2230, 1304237|2207, 1304105|2236, 1304105|2338, tap_regular_character, 
1304105|1, 1304105|101, tap_shift, 
1304105|1, 1304105|2325, tap_shift, 
1304105|1, 1304105|76, long_press_character, 
1304105|1, 1304105|1804, long_press_character, 
1304105|1, 1304105|69, long_press_character, 
1304105|1, 1304105|1787, long_press_character, 
1304105|1, 1304105|123, long_press_character, 
1304105|1, 1304105|1860, long_press_character, 
1304105|1, 1304105|83, tap_regular_character, 
1304105|1, 1304105|2294, tap_regular_character, 
1304105|1, 1304105|70, tap_shift, 
1304105|1, 1304105|2319, tap_shift, 
1304105|1, 1304105|72, tap_regular_character, 
1304105|1, 1304105|2428, tap_regular_character, 
1304105|1, 1304105|84, tap_regular_character, 
1304105|1, 1304105|2371, tap_regular_character, 
1304105|1, 1304105|74, tap_shift, 
1304105|1, 1304105|2259, tap_shift, 
1304105|1, 1304105|71, tap_shift, 
1304105|1, 1304105|2287, tap_shift, 
1304105|1, 1304105|93, tap_shift, 
1304105|1, 1304105|2403, tap_shift, 
1304105|1, 1304105|59, tap_shift, 
1304105|1, 1304105|1954, 1304045|1985, 1304105|1958, 1304045|1991, 1304045|2021, 1302913|2042, 1304045|2024, 1302913|2047, 1302873|2081, 1302913|2069, 1302219|2117, 1302219|2132, 1302179|2146, 1302179|2152, tap_shift, 
